GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
337.0,118.0,4,4.5,4.5,9.65,1,0.92
324.0,107.0,4,4.0,4.5,8.87,1,0.76
316.0,104.0,3,3.0,3.5,8.0,1,0.72
322.0,110.0,3,3.5,2.5,8.67,1,0.8
314.0,103.0,2,2.0,3.0,8.21,0,0.65
330.0,115.0,5,4.5,3.0,9.34,1,0.9
321.0,109.0,3,3.0,4.0,8.2,1,0.75
308.0,101.0,2,3.0,4.0,7.9,0,0.68
302.0,102.0,1,2.0,1.5,8.0,0,0.5
323.0,108.0,3,3.5,3.0,8.6,0,0.45
325.0,106.0,3,3.5,4.0,8.4,1,0.52
327.0,111.0,4,4.0,4.5,9.0,1,0.84
328.0,112.0,4,4.0,4.5,9.1,1,0.78
307.0,109.0,3,4.0,3.0,8.0,1,0.62
311.0,104.0,3,3.5,2.0,8.2,1,0.61
314.0,105.0,3,3.5,2.5,8.3,0,0.54
317.0,107.0,3,4.0,3.0,8.7,0,0.66
319.0,106.0,3,4.0,3.0,8.0,1,0.65
318.0,110.0,3,4.0,3.0,8.8,0,0.63
303.0,102.0,3,3.5,3.0,8.5,0,0.62
312.0,107.0,3,3.0,2.0,7.9,1,0.64
325.0,114.0,4,3.0,2.0,8.4,0,0.7
328.0,116.0,5,5.0,5.0,9.5,1,0.94
334.0,119.0,5,5.0,4.5,9.7,1,0.95
336.0,119.0,5,4.0,3.5,9.8,1,0.97
340.0,120.0,5,4.5,4.5,9.6,1,0.94
322.0,109.0,5,4.5,3.5,8.8,0,0.76
298.0,98.0,2,1.5,2.5,7.5,1,0.44
295.0,93.0,1,2.0,2.0,7.2,0,0.46
310.0,99.0,2,1.5,2.0,7.3,0,0.54
300.0,97.0,2,3.0,3.0,8.1,1,0.65
327.0,103.0,3,4.0,4.0,8.3,1,0.74
338.0,118.0,4,3.0,4.5,9.4,1,0.91
340.0,114.0,5,4.0,4.0,9.6,1,0.9
331.0,112.0,5,4.0,5.0,9.8,1,0.94
320.0,110.0,5,5.0,5.0,9.2,1,0.88
299.0,106.0,2,4.0,4.0,8.4,0,0.64
300.0,105.0,1,1.0,2.0,7.8,0,0.58
304.0,105.0,1,3.0,1.5,7.5,0,0.52
307.0,108.0,2,4.0,3.5,7.7,0,0.48
308.0,110.0,3,3.5,3.0,8.0,1,0.46
316.0,105.0,2,2.5,2.5,8.2,1,0.49
313.0,107.0,2,2.5,2.0,8.5,1,0.53
332.0,117.0,4,4.5,4.0,9.1,0,0.87
326.0,113.0,5,4.5,4.0,9.4,1,0.91
322.0,110.0,5,5.0,4.0,9.1,1,0.88
329.0,114.0,5,4.0,5.0,9.3,1,0.86
339.0,119.0,5,4.5,4.0,9.7,0,0.89
321.0,110.0,3,3.5,5.0,8.85,1,0.82
327.0,111.0,4,3.0,4.0,8.4,1,0.78
313.0,98.0,3,2.5,4.5,8.3,1,0.76
312.0,100.0,2,1.5,3.5,7.9,1,0.56
334.0,116.0,4,4.0,3.0,8.0,1,0.78
324.0,112.0,4,4.0,2.5,8.1,1,0.72
322.0,110.0,3,3.0,3.5,8.0,0,0.7
320.0,103.0,3,3.0,3.0,7.7,0,0.64
316.0,102.0,3,2.0,3.0,7.4,0,0.64
298.0,99.0,2,4.0,2.0,7.6,0,0.46
300.0,99.0,1,3.0,2.0,6.8,1,0.36
311.0,104.0,2,2.0,2.0,8.3,0,0.42
309.0,100.0,2,3.0,3.0,8.1,0,0.48
307.0,101.0,3,4.0,3.0,8.2,0,0.47
304.0,105.0,2,3.0,3.0,8.2,1,0.54
315.0,107.0,2,4.0,3.0,8.5,1,0.56
325.0,111.0,3,3.0,3.5,8.7,0,0.52
325.0,112.0,4,3.5,3.5,8.92,0,0.55
327.0,114.0,3,3.0,3.0,9.02,0,0.61
316.0,107.0,2,3.5,3.5,8.64,1,0.57
318.0,109.0,3,3.5,4.0,9.22,1,0.68
328.0,115.0,4,4.5,4.0,9.16,1,0.78
332.0,118.0,5,5.0,5.0,9.64,1,0.94
336.0,112.0,5,5.0,5.0,9.76,1,0.96
321.0,111.0,5,5.0,5.0,9.45,1,0.93
314.0,108.0,4,4.5,4.0,9.04,1,0.84
314.0,106.0,3,3.0,5.0,8.9,0,0.74
329.0,114.0,2,2.0,4.0,8.56,1,0.72
327.0,112.0,3,3.0,3.0,8.72,1,0.74
301.0,99.0,2,3.0,2.0,8.22,0,0.64
296.0,95.0,2,3.0,2.0,7.54,1,0.44
294.0,93.0,1,1.5,2.0,7.36,0,0.46
312.0,105.0,3,2.0,3.0,8.02,1,0.5
340.0,120.0,4,5.0,5.0,9.5,1,0.96
320.0,110.0,5,5.0,4.5,9.22,1,0.92
322.0,115.0,5,4.0,4.5,9.36,1,0.92
340.0,115.0,5,4.5,4.5,9.45,1,0.94
319.0,103.0,4,4.5,3.5,8.66,0,0.76
315.0,106.0,3,4.5,3.5,8.42,0,0.72
317.0,107.0,2,3.5,3.0,8.28,0,0.66
314.0,108.0,3,4.5,3.5,8.14,0,0.64
316.0,109.0,4,4.5,3.5,8.76,1,0.74
318.0,106.0,2,4.0,4.0,7.92,1,0.64
299.0,97.0,3,5.0,3.5,7.66,0,0.38
298.0,98.0,2,4.0,3.0,8.03,0,0.34
301.0,97.0,2,3.0,3.0,7.88,1,0.44
303.0,99.0,3,2.0,2.5,7.66,0,0.36
304.0,100.0,4,1.5,2.5,7.84,0,0.42
306.0,100.0,2,3.0,3.0,8.0,0,0.48
331.0,120.0,3,4.0,4.0,8.96,1,0.86
332.0,119.0,4,5.0,4.5,9.24,1,0.9
323.0,113.0,3,4.0,4.0,8.88,1,0.79
322.0,107.0,3,3.5,3.5,8.46,1,0.71
312.0,105.0,2,2.5,3.0,8.12,0,0.64
314.0,106.0,2,4.0,3.5,8.25,0,0.62
317.0,104.0,2,4.5,4.0,8.47,0,0.57
326.0,112.0,3,3.5,3.0,9.05,1,0.74
316.0,110.0,3,4.0,4.5,8.78,1,0.69
329.0,111.0,4,4.5,4.5,9.18,1,0.87
338.0,117.0,4,3.5,4.5,9.46,1,0.91
331.0,116.0,5,5.0,5.0,9.38,1,0.93
304.0,103.0,5,5.0,4.0,8.64,0,0.68
305.0,108.0,5,3.0,3.0,8.48,0,0.61
321.0,109.0,4,4.0,4.0,8.68,1,0.69
301.0,107.0,3,3.5,3.5,8.34,1,0.62
320.0,110.0,2,4.0,3.5,8.56,0,0.72
311.0,105.0,3,3.5,3.0,8.45,1,0.59
310.0,106.0,4,4.5,4.5,9.04,1,0.66
299.0,102.0,3,4.0,3.5,8.62,0,0.56
290.0,104.0,4,2.0,2.5,7.46,0,0.45
296.0,99.0,2,3.0,3.5,7.28,0,0.47
327.0,104.0,5,3.0,3.5,8.84,1,0.71
335.0,117.0,5,5.0,5.0,9.56,1,0.94
334.0,119.0,5,4.5,4.5,9.48,1,0.94
310.0,106.0,4,1.5,2.5,8.36,0,0.57
308.0,108.0,3,3.5,3.5,8.22,0,0.61
301.0,106.0,4,2.5,3.0,8.47,0,0.57
300.0,100.0,3,2.0,3.0,8.66,1,0.64
323.0,113.0,3,4.0,3.0,9.32,1,0.85
319.0,112.0,3,2.5,2.0,8.71,1,0.78
326.0,112.0,3,3.5,3.0,9.1,1,0.84
333.0,118.0,5,5.0,5.0,9.35,1,0.92
339.0,114.0,5,4.0,4.5,9.76,1,0.96
303.0,105.0,5,5.0,4.5,8.65,0,0.77
309.0,105.0,5,3.5,3.5,8.56,0,0.71
323.0,112.0,5,4.0,4.5,8.78,0,0.79
333.0,113.0,5,4.0,4.0,9.28,1,0.89
314.0,109.0,4,3.5,4.0,8.77,1,0.82
312.0,103.0,3,5.0,4.0,8.45,0,0.76
316.0,100.0,2,1.5,3.0,8.16,1,0.71
326.0,116.0,2,4.5,3.0,9.08,1,0.8
318.0,109.0,1,3.5,3.5,9.12,0,0.78
329.0,110.0,2,4.0,3.0,9.15,1,0.84
332.0,118.0,2,4.5,3.5,9.36,1,0.9
331.0,115.0,5,4.0,3.5,9.44,1,0.92
340.0,120.0,4,4.5,4.0,9.92,1,0.97
325.0,112.0,2,3.0,3.5,8.96,1,0.8
320.0,113.0,2,2.0,2.5,8.64,1,0.81
315.0,105.0,3,2.0,2.5,8.48,0,0.75
326.0,114.0,3,3.0,3.0,9.11,1,0.83
339.0,116.0,4,4.0,3.5,9.8,1,0.96
311.0,106.0,2,3.5,3.0,8.26,1,0.79
334.0,114.0,4,4.0,4.0,9.43,1,0.93
332.0,116.0,5,5.0,5.0,9.28,1,0.94
321.0,112.0,5,5.0,5.0,9.06,1,0.86
324.0,105.0,3,3.0,4.0,8.75,0,0.79
326.0,108.0,3,3.0,3.5,8.89,0,0.8
312.0,109.0,3,3.0,3.0,8.69,0,0.77
315.0,105.0,3,2.0,2.5,8.34,0,0.7
309.0,104.0,2,2.0,2.5,8.26,0,0.65
306.0,106.0,2,2.0,2.5,8.14,0,0.61
297.0,100.0,1,1.5,2.0,7.9,0,0.52
315.0,103.0,1,1.5,2.0,7.86,0,0.57
298.0,99.0,1,1.5,3.0,7.46,0,0.53
318.0,109.0,3,3.0,3.0,8.5,0,0.67
317.0,105.0,3,3.5,3.0,8.56,0,0.68
329.0,111.0,4,4.5,4.0,9.01,1,0.81
322.0,110.0,5,4.5,4.0,8.97,0,0.78
302.0,102.0,3,3.5,5.0,8.33,0,0.65
313.0,102.0,3,2.0,3.0,8.27,0,0.64
293.0,97.0,2,2.0,4.0,7.8,1,0.64
311.0,99.0,2,2.5,3.0,7.98,0,0.65
312.0,101.0,2,2.5,3.5,8.04,1,0.68
334.0,117.0,5,4.0,4.5,9.07,1,0.89
322.0,110.0,4,4.0,5.0,9.13,1,0.86
323.0,113.0,4,4.0,4.5,9.23,1,0.89
321.0,111.0,4,4.0,4.0,8.97,1,0.87
320.0,111.0,4,4.5,3.5,8.87,1,0.85
329.0,119.0,4,4.5,4.5,9.16,1,0.9
319.0,110.0,3,3.5,3.5,9.04,0,0.82
309.0,108.0,3,2.5,3.0,8.12,0,0.72
307.0,102.0,3,3.0,3.0,8.27,0,0.73
300.0,104.0,3,3.5,3.0,8.16,0,0.71
305.0,107.0,2,2.5,2.5,8.42,0,0.71
299.0,100.0,2,3.0,3.5,7.88,0,0.68
314.0,110.0,3,4.0,4.0,8.8,0,0.75
316.0,106.0,2,2.5,4.0,8.32,0,0.72
327.0,113.0,4,4.5,4.5,9.11,1,0.89
317.0,107.0,3,3.5,3.0,8.68,1,0.84
335.0,118.0,5,4.5,3.5,9.44,1,0.93
331.0,115.0,5,4.5,3.5,9.36,1,0.93
324.0,112.0,5,5.0,5.0,9.08,1,0.88
324.0,111.0,5,4.5,4.0,9.16,1,0.9
323.0,110.0,5,4.0,5.0,8.98,1,0.87
322.0,114.0,5,4.5,4.0,8.94,1,0.86
336.0,118.0,5,4.5,5.0,9.53,1,0.94
316.0,109.0,3,3.5,3.0,8.76,0,0.77
307.0,107.0,2,3.0,3.5,8.52,1,0.78
306.0,105.0,2,3.0,2.5,8.26,0,0.73
310.0,106.0,2,3.5,2.5,8.33,0,0.73
311.0,104.0,3,4.5,4.5,8.43,0,0.7
313.0,107.0,3,4.0,4.5,8.69,0,0.72
317.0,103.0,3,2.5,3.0,8.54,1,0.73
315.0,110.0,2,3.5,3.0,8.46,1,0.72
340.0,120.0,5,4.5,4.5,9.91,1,0.97
334.0,120.0,5,4.0,5.0,9.87,1,0.97
298.0,105.0,3,3.5,4.0,8.54,0,0.69
295.0,99.0,2,2.5,3.0,7.65,0,0.57
315.0,99.0,2,3.5,3.0,7.89,0,0.63
310.0,102.0,3,3.5,4.0,8.02,1,0.66
305.0,106.0,2,3.0,3.0,8.16,0,0.64
301.0,104.0,3,3.5,4.0,8.12,1,0.68
325.0,108.0,4,4.5,4.0,9.06,1,0.79
328.0,110.0,4,5.0,4.0,9.14,1,0.82
338.0,120.0,4,5.0,5.0,9.66,1,0.95
333.0,119.0,5,5.0,4.5,9.78,1,0.96
331.0,117.0,4,4.5,5.0,9.42,1,0.94
330.0,116.0,5,5.0,4.5,9.36,1,0.93
322.0,112.0,4,4.5,4.5,9.26,1,0.91
321.0,109.0,4,4.0,4.0,9.13,1,0.85
324.0,110.0,4,3.0,3.5,8.97,1,0.84
312.0,104.0,3,3.5,3.5,8.42,0,0.74
313.0,103.0,3,4.0,4.0,8.75,0,0.76
316.0,110.0,3,3.5,4.0,8.56,0,0.75
324.0,113.0,4,4.5,4.0,8.79,0,0.76
308.0,109.0,2,3.0,4.0,8.45,0,0.71
305.0,105.0,2,3.0,2.0,8.23,0,0.67
296.0,99.0,2,2.5,2.5,8.03,0,0.61
306.0,110.0,2,3.5,4.0,8.45,0,0.63
312.0,110.0,2,3.5,3.0,8.53,0,0.64
318.0,112.0,3,4.0,3.5,8.67,0,0.71
324.0,111.0,4,3.0,3.0,9.01,1,0.82
313.0,104.0,3,4.0,4.5,8.65,0,0.73
319.0,106.0,3,3.5,2.5,8.33,1,0.74
312.0,107.0,2,2.5,3.5,8.27,0,0.69
304.0,100.0,2,2.5,3.5,8.07,0,0.64
330.0,113.0,5,5.0,4.0,9.31,1,0.91
326.0,111.0,5,4.5,4.0,9.23,1,0.88
325.0,112.0,4,4.0,4.5,9.17,1,0.85
329.0,114.0,5,4.5,5.0,9.19,1,0.86
310.0,104.0,3,2.0,3.5,8.37,0,0.7
299.0,100.0,1,1.5,2.0,7.89,0,0.59
296.0,101.0,1,2.5,3.0,7.68,0,0.6
317.0,103.0,2,2.5,2.0,8.15,0,0.65
324.0,115.0,3,3.5,3.0,8.76,1,0.7
325.0,114.0,3,3.5,3.0,9.04,1,0.76
314.0,107.0,2,2.5,4.0,8.56,0,0.63
328.0,110.0,4,4.0,2.5,9.02,1,0.81
316.0,105.0,3,3.0,3.5,8.73,0,0.72
311.0,104.0,2,2.5,3.5,8.48,0,0.71
324.0,110.0,3,3.5,4.0,8.87,1,0.8
321.0,111.0,3,3.5,4.0,8.83,1,0.77
320.0,104.0,3,3.0,2.5,8.57,1,0.74
316.0,99.0,2,2.5,3.0,9.0,0,0.7
318.0,100.0,2,2.5,3.5,8.54,1,0.71
335.0,115.0,4,4.5,4.5,9.68,1,0.93
321.0,114.0,4,4.0,5.0,9.12,0,0.85
307.0,110.0,4,4.0,4.5,8.37,0,0.79
309.0,99.0,3,4.0,4.0,8.56,0,0.76
324.0,100.0,3,4.0,5.0,8.64,1,0.78
326.0,102.0,4,5.0,5.0,8.76,1,0.77
331.0,119.0,4,5.0,4.5,9.34,1,0.9
327.0,108.0,5,5.0,3.5,9.13,1,0.87
312.0,104.0,3,3.5,4.0,8.09,0,0.71
308.0,103.0,2,2.5,4.0,8.36,1,0.7
324.0,111.0,3,2.5,1.5,8.79,1,0.7
325.0,110.0,2,3.0,2.5,8.76,1,0.75
313.0,102.0,3,2.5,2.5,8.68,0,0.71
312.0,105.0,2,2.0,2.5,8.45,0,0.72
314.0,107.0,3,3.0,3.5,8.17,1,0.73
327.0,113.0,4,4.5,5.0,9.14,0,0.83
308.0,108.0,4,4.5,5.0,8.34,0,0.77
306.0,105.0,2,2.5,3.0,8.22,1,0.72
299.0,96.0,2,1.5,2.0,7.86,0,0.54
294.0,95.0,1,1.5,1.5,7.64,0,0.49
312.0,99.0,1,1.0,1.5,8.01,1,0.52
315.0,100.0,1,2.0,2.5,7.95,0,0.58
322.0,110.0,3,3.5,3.0,8.96,1,0.78
329.0,113.0,5,5.0,4.5,9.45,1,0.89
320.0,101.0,2,2.5,3.0,8.62,0,0.7
308.0,103.0,2,3.0,3.5,8.49,0,0.66
304.0,102.0,2,3.0,4.0,8.73,0,0.67
311.0,102.0,3,4.5,4.0,8.64,1,0.68
317.0,110.0,3,4.0,4.5,9.11,1,0.8
312.0,106.0,3,4.0,3.5,8.79,1,0.81
321.0,111.0,3,2.5,3.0,8.9,1,0.8
340.0,112.0,4,5.0,4.5,9.66,1,0.94
331.0,116.0,5,4.0,4.0,9.26,1,0.93
336.0,118.0,5,4.5,4.0,9.19,1,0.92
324.0,114.0,5,5.0,4.5,9.08,1,0.89
314.0,104.0,4,5.0,5.0,9.02,0,0.82
313.0,109.0,3,4.0,3.5,9.0,0,0.79
307.0,105.0,2,2.5,3.0,7.65,0,0.58
300.0,102.0,2,1.5,2.0,7.87,0,0.56
302.0,99.0,2,1.0,2.0,7.97,0,0.56
312.0,98.0,1,3.5,3.0,8.18,1,0.64
316.0,101.0,2,2.5,2.0,8.32,1,0.61
317.0,100.0,2,3.0,2.5,8.57,0,0.68
310.0,107.0,3,3.5,3.5,8.67,0,0.76
320.0,120.0,3,4.0,4.5,9.11,0,0.86
330.0,114.0,3,4.5,4.5,9.24,1,0.9
305.0,112.0,3,3.0,3.5,8.65,0,0.71
309.0,106.0,2,2.5,2.5,8.0,0,0.62
319.0,108.0,2,2.5,3.0,8.76,0,0.66
322.0,105.0,2,3.0,3.0,8.45,1,0.65
323.0,107.0,3,3.5,3.5,8.55,1,0.73
313.0,106.0,2,2.5,2.0,8.43,0,0.62
321.0,109.0,3,3.5,3.5,8.8,1,0.74
323.0,110.0,3,4.0,3.5,9.1,1,0.79
325.0,112.0,4,4.0,4.0,9.0,1,0.8
312.0,108.0,3,3.5,3.0,8.53,0,0.69
308.0,110.0,4,3.5,3.0,8.6,0,0.7
320.0,104.0,3,3.0,3.5,8.74,1,0.76
328.0,108.0,4,4.5,4.0,9.18,1,0.84
311.0,107.0,4,4.5,4.5,9.0,1,0.78
301.0,100.0,3,3.5,3.0,8.04,0,0.67
305.0,105.0,2,3.0,4.0,8.13,0,0.66
308.0,104.0,2,2.5,3.0,8.07,0,0.65
298.0,101.0,2,1.5,2.0,7.86,0,0.54
300.0,99.0,1,1.0,2.5,8.01,0,0.58
324.0,111.0,3,2.5,2.0,8.8,1,0.79
327.0,113.0,4,3.5,3.0,8.69,1,0.8
317.0,106.0,3,4.0,3.5,8.5,1,0.75
323.0,104.0,3,4.0,4.0,8.44,1,0.73
314.0,107.0,2,2.5,4.0,8.27,0,0.72
305.0,102.0,2,2.0,2.5,8.18,0,0.62
315.0,104.0,3,3.0,2.5,8.33,0,0.67
326.0,116.0,3,3.5,4.0,9.14,1,0.81
299.0,100.0,3,2.0,2.0,8.02,0,0.63
295.0,101.0,2,2.5,2.0,7.86,0,0.69
324.0,112.0,4,4.0,3.5,8.77,1,0.8
297.0,96.0,2,2.5,1.5,7.89,0,0.43
327.0,113.0,3,3.5,3.0,8.66,1,0.8
311.0,105.0,2,3.0,2.0,8.12,1,0.73
308.0,106.0,3,3.5,2.5,8.21,1,0.75
319.0,108.0,3,3.0,3.5,8.54,1,0.71
312.0,107.0,4,4.5,4.0,8.65,1,0.73
325.0,111.0,4,4.0,4.5,9.11,1,0.83
319.0,110.0,3,3.0,2.5,8.79,0,0.72
332.0,118.0,5,5.0,5.0,9.47,1,0.94
323.0,108.0,5,4.0,4.0,8.74,1,0.81
324.0,107.0,5,3.5,4.0,8.66,1,0.81
312.0,107.0,3,3.0,3.0,8.46,1,0.75
326.0,110.0,3,3.5,3.5,8.76,1,0.79
